date,role,program,transport_mode,distance_km,travel_energy_kwh,travel_co2_kg,personal_computer_kwh,personal_computer_co2_kg,students_trained,lab_energy_kwh,total_daily_co2_kg
2025-02-26,Director,SkillSaksham,Cab,32.64,8.16,3.92,0.36,0.3,0,0.0,4.21
2025-02-02,Director,SkillSaksham,Cab,39.1,9.77,4.69,0.36,0.3,0,0.0,4.99
2025-02-06,Director,TechSaksham,Flight,1854.02,927.01,278.1,0.36,0.3,0,0.0,278.4
2025-03-20,Director,SkillsBuild,Flight,1155.28,577.64,173.29,0.36,0.3,0,0.0,173.59
2025-03-22,Director,Skills4Future,Flight,1710.29,855.15,256.54,0.36,0.3,0,0.0,256.84
2025-03-24,Director,Code Unnati,Flight,1129.33,564.66,169.4,0.36,0.3,0,0.0,169.69
2025-04-27,Director,SkillsBuild,Flight,1518.22,759.11,227.73,0.36,0.3,0,0.0,228.03
2025-04-02,Director,SkillsBuild,Flight,1459.61,729.8,218.94,0.36,0.3,0,0.0,219.24
2025-04-19,Director,SkillsBuild,Cab,38.55,9.64,4.63,0.36,0.3,0,0.0,4.92
2025-04-24,Director,Skills4Future,Flight,1136.36,568.18,170.45,0.36,0.3,0,0.0,170.75
2025-05-31,Director,Code Unnati,Flight,734.28,367.14,110.14,0.36,0.3,0,0.0,110.44
2025-05-10,Director,SkillsBuild,Cab,21.81,5.45,2.62,0.36,0.3,0,0.0,2.91
2025-05-20,Director,SkillsBuild,Flight,1674.45,837.23,251.17,0.36,0.3,0,0.0,251.46
2025-05-23,Director,SkillsBuild,Cab,34.47,8.62,4.14,0.36,0.3,0,0.0,4.43
2025-06-04,Director,SkillSaksham,Flight,997.24,498.62,149.59,0.36,0.3,0,0.0,149.88
2025-06-28,Director,SkillsBuild,Cab,6.64,1.66,0.8,0.36,0.3,0,0.0,1.09
2025-06-15,Director,TechSaksham,Flight,1319.07,659.54,197.86,0.36,0.3,0,0.0,198.16
2025-07-28,Director,SkillsBuild,Flight,1718.75,859.37,257.81,0.36,0.3,0,0.0,258.11
2025-07-04,Director,Skills4Future,Flight,1380.68,690.34,207.1,0.36,0.3,0,0.0,207.4
2025-07-08,Director,SkillsBuild,Cab,10.15,2.54,1.22,0.36,0.3,0,0.0,1.51
2025-08-22,Director,SkillSaksham,Cab,26.07,6.52,3.13,0.36,0.3,0,0.0,3.42
2025-08-30,Director,Code Unnati,Flight,919.62,459.81,137.94,0.36,0.3,0,0.0,138.24
2025-08-25,Director,Skills4Future,Flight,741.35,370.67,111.2,0.36,0.3,0,0.0,111.5
2025-08-12,Director,SkillsBuild,Flight,1162.79,581.39,174.42,0.36,0.3,0,0.0,174.71
2025-09-23,Director,Code Unnati,Flight,1863.77,931.88,279.57,0.36,0.3,0,0.0,279.86
2025-09-12,Director,Code Unnati,Flight,839.32,419.66,125.9,0.36,0.3,0,0.0,126.19
2025-09-28,Director,TechSaksham,Flight,1216.31,608.16,182.45,0.36,0.3,0,0.0,182.74
2025-09-21,Director,SkillsBuild,Flight,936.97,468.48,140.55,0.36,0.3,0,0.0,140.84
2025-10-28,Director,TechSaksham,Flight,1017.66,508.83,152.65,0.36,0.3,0,0.0,152.94
2025-10-29,Director,Code Unnati,Cab,26.2,6.55,3.14,0.36,0.3,0,0.0,3.44
2025-10-24,Director,SkillsBuild,Flight,992.93,496.47,148.94,0.36,0.3,0,0.0,149.24
2025-11-14,Director,TechSaksham,Flight,1700.34,850.17,255.05,0.36,0.3,0,0.0,255.35
2025-11-21,Director,TechSaksham,Flight,1253.07,626.53,187.96,0.36,0.3,0,0.0,188.26
2025-11-07,Director,SkillsBuild,Flight,1388.79,694.4,208.32,0.36,0.3,0,0.0,208.61
2025-11-29,Director,SkillsBuild,Flight,1075.22,537.61,161.28,0.36,0.3,0,0.0,161.58
2025-12-14,Director,SkillSaksham,Cab,38.78,9.69,4.65,0.36,0.3,0,0.0,4.95
2025-12-20,Director,SkillSaksham,Flight,1919.84,959.92,287.98,0.36,0.3,0,0.0,288.27
2025-12-19,Director,Skills4Future,Flight,1904.38,952.19,285.66,0.36,0.3,0,0.0,285.95
2025-01-17,Director,SkillsBuild,Flight,1869.45,934.72,280.42,0.36,0.3,0,0.0,280.71
2025-01-15,Director,TechSaksham,Flight,1878.41,939.21,281.76,0.36,0.3,0,0.0,282.06
2025-01-01,Director,Code Unnati,Flight,1260.99,630.49,189.15,0.36,0.3,0,0.0,189.44
2025-01-12,Director,Code Unnati,Flight,1135.38,567.69,170.31,0.36,0.3,0,0.0,170.6
2025-02-26,Director,SkillSaksham,Flight,1231.64,615.82,184.75,0.36,0.3,0,0.0,185.04
2025-02-12,Director,SkillSaksham,Flight,1533.49,766.75,230.02,0.36,0.3,0,0.0,230.32
2025-02-03,Director,Code Unnati,Flight,1631.03,815.52,244.65,0.36,0.3,0,0.0,244.95
2025-02-08,Director,Code Unnati,Flight,936.08,468.04,140.41,0.36,0.3,0,0.0,140.71
2025-03-09,Director,SkillsBuild,Flight,1657.38,828.69,248.61,0.36,0.3,0,0.0,248.9
2025-03-29,Director,SkillsBuild,Cab,20.78,5.19,2.49,0.36,0.3,0,0.0,2.79
2025-03-03,Director,SkillSaksham,Cab,34.36,8.59,4.12,0.36,0.3,0,0.0,4.42
2025-03-20,Director,SkillsBuild,Flight,1104.88,552.44,165.73,0.36,0.3,0,0.0,166.03
2025-04-12,Director,SkillSaksham,Flight,1521.94,760.97,228.29,0.36,0.3,0,0.0,228.59
2025-04-22,Director,Skills4Future,Flight,1369.73,684.86,205.46,0.36,0.3,0,0.0,205.75
2025-04-27,Director,SkillsBuild,Cab,10.2,2.55,1.22,0.36,0.3,0,0.0,1.52
2025-05-04,Director,SkillSaksham,Flight,1679.22,839.61,251.88,0.36,0.3,0,0.0,252.18
2025-05-20,Director,TechSaksham,Flight,1537.2,768.6,230.58,0.36,0.3,0,0.0,230.88
2025-05-09,Director,Skills4Future,Cab,39.26,9.82,4.71,0.36,0.3,0,0.0,5.01
2025-05-05,Director,TechSaksham,Cab,19.28,4.82,2.31,0.36,0.3,0,0.0,2.61
2025-06-10,Director,SkillsBuild,Flight,734.49,367.25,110.17,0.36,0.3,0,0.0,110.47
2025-06-20,Director,SkillSaksham,Cab,27.5,6.88,3.3,0.36,0.3,0,0.0,3.6
2025-06-07,Director,TechSaksham,Cab,33.61,8.4,4.03,0.36,0.3,0,0.0,4.33
2025-07-16,Director,SkillsBuild,Flight,1523.52,761.76,228.53,0.36,0.3,0,0.0,228.82
2025-07-22,Director,SkillsBuild,Flight,1785.41,892.7,267.81,0.36,0.3,0,0.0,268.11
2025-07-07,Director,Skills4Future,Flight,1870.74,935.37,280.61,0.36,0.3,0,0.0,280.91
2025-07-24,Director,TechSaksham,Flight,723.91,361.95,108.59,0.36,0.3,0,0.0,108.88
2025-08-03,Director,SkillsBuild,Flight,1484.1,742.05,222.61,0.36,0.3,0,0.0,222.91
2025-08-11,Director,TechSaksham,Flight,1788.2,894.1,268.23,0.36,0.3,0,0.0,268.53
2025-08-14,Director,Code Unnati,Flight,1634.76,817.38,245.21,0.36,0.3,0,0.0,245.51
2025-08-18,Director,Code Unnati,Cab,18.88,4.72,2.27,0.36,0.3,0,0.0,2.56
2025-09-25,Director,TechSaksham,Flight,798.71,399.36,119.81,0.36,0.3,0,0.0,120.1
2025-09-12,Director,TechSaksham,Cab,29.31,7.33,3.52,0.36,0.3,0,0.0,3.81
2025-09-21,Director,TechSaksham,Flight,1108.98,554.49,166.35,0.36,0.3,0,0.0,166.64
2025-09-16,Director,Code Unnati,Cab,9.79,2.45,1.17,0.36,0.3,0,0.0,1.47
2025-10-03,Director,SkillSaksham,Flight,950.38,475.19,142.56,0.36,0.3,0,0.0,142.85
2025-10-22,Director,TechSaksham,Flight,1733.94,866.97,260.09,0.36,0.3,0,0.0,260.39
2025-10-04,Director,Skills4Future,Cab,16.17,4.04,1.94,0.36,0.3,0,0.0,2.24
2025-10-18,Director,TechSaksham,Flight,1545.22,772.61,231.78,0.36,0.3,0,0.0,232.08
2025-11-18,Director,SkillSaksham,Flight,1920.79,960.39,288.12,0.36,0.3,0,0.0,288.41
2025-11-23,Director,Code Unnati,Flight,712.33,356.17,106.85,0.36,0.3,0,0.0,107.14
2025-11-22,Director,SkillSaksham,Cab,19.07,4.77,2.29,0.36,0.3,0,0.0,2.58
2025-11-24,Director,SkillSaksham,Flight,1454.98,727.49,218.25,0.36,0.3,0,0.0,218.54
2025-12-06,Director,Skills4Future,Flight,1842.85,921.43,276.43,0.36,0.3,0,0.0,276.72
2025-12-27,Director,Code Unnati,Cab,39.62,9.91,4.75,0.36,0.3,0,0.0,5.05
2025-12-29,Director,Skills4Future,Flight,1222.05,611.03,183.31,0.36,0.3,0,0.0,183.6
2025-12-12,Director,SkillSaksham,Flight,1490.06,745.03,223.51,0.36,0.3,0,0.0,223.8
2025-01-07,Director,SkillSaksham,Flight,1398.07,699.03,209.71,0.36,0.3,0,0.0,210.01
2025-01-08,Director,SkillsBuild,Cab,35.1,8.78,4.21,0.36,0.3,0,0.0,4.51
2025-01-20,Director,Code Unnati,Cab,14.3,3.57,1.72,0.36,0.3,0,0.0,2.01
2025-02-22,Director,SkillsBuild,Flight,1847.78,923.89,277.17,0.36,0.3,0,0.0,277.46
2025-02-27,Director,SkillSaksham,Cab,25.0,6.25,3.0,0.36,0.3,0,0.0,3.29
2025-02-01,Director,TechSaksham,Flight,1823.84,911.92,273.58,0.36,0.3,0,0.0,273.87
2025-02-13,Director,SkillsBuild,Cab,32.91,8.23,3.95,0.36,0.3,0,0.0,4.24
2025-03-12,Director,SkillSaksham,Flight,951.07,475.54,142.66,0.36,0.3,0,0.0,142.96
2025-03-30,Director,SkillSaksham,Flight,1975.54,987.77,296.33,0.36,0.3,0,0.0,296.63
2025-03-15,Director,SkillsBuild,Flight,1189.7,594.85,178.46,0.36,0.3,0,0.0,178.75
2025-03-08,Director,SkillSaksham,Cab,8.74,2.19,1.05,0.36,0.3,0,0.0,1.34
2025-04-11,Director,Skills4Future,Cab,5.86,1.47,0.7,0.36,0.3,0,0.0,1.0
2025-04-24,Director,Code Unnati,Cab,18.01,4.5,2.16,0.36,0.3,0,0.0,2.46
2025-04-28,Director,Code Unnati,Flight,701.34,350.67,105.2,0.36,0.3,0,0.0,105.5
2025-04-19,Director,TechSaksham,Flight,1996.26,998.13,299.44,0.36,0.3,0,0.0,299.73
2025-05-10,Director,Skills4Future,Flight,1669.59,834.79,250.44,0.36,0.3,0,0.0,250.73
2025-05-26,Director,Code Unnati,Flight,1547.17,773.58,232.08,0.36,0.3,0,0.0,232.37
2025-05-28,Director,Skills4Future,Flight,1312.99,656.5,196.95,0.36,0.3,0,0.0,197.24
2025-06-22,Director,SkillsBuild,Flight,1546.98,773.49,232.05,0.36,0.3,0,0.0,232.34
2025-06-02,Director,SkillSaksham,Flight,1736.83,868.41,260.52,0.36,0.3,0,0.0,260.82
2025-06-23,Director,Code Unnati,Cab,10.24,2.56,1.23,0.36,0.3,0,0.0,1.52
2025-07-16,Director,SkillsBuild,Flight,743.16,371.58,111.47,0.36,0.3,0,0.0,111.77
2025-07-03,Director,Skills4Future,Flight,1118.72,559.36,167.81,0.36,0.3,0,0.0,168.1
2025-07-05,Director,TechSaksham,Flight,1740.76,870.38,261.11,0.36,0.3,0,0.0,261.41
2025-08-25,Director,Code Unnati,Flight,913.2,456.6,136.98,0.36,0.3,0,0.0,137.28
2025-08-01,Director,Code Unnati,Flight,1471.26,735.63,220.69,0.36,0.3,0,0.0,220.98
2025-08-31,Director,Skills4Future,Flight,1833.32,916.66,275.0,0.36,0.3,0,0.0,275.29
2025-08-05,Director,TechSaksham,Flight,1311.24,655.62,196.69,0.36,0.3,0,0.0,196.98
2025-09-13,Director,Skills4Future,Flight,1983.94,991.97,297.59,0.36,0.3,0,0.0,297.89
2025-09-30,Director,TechSaksham,Cab,25.25,6.31,3.03,0.36,0.3,0,0.0,3.33
2025-09-27,Director,Skills4Future,Flight,1214.17,607.08,182.13,0.36,0.3,0,0.0,182.42
2025-10-16,Director,SkillSaksham,Flight,826.61,413.31,123.99,0.36,0.3,0,0.0,124.29
2025-10-09,Director,SkillSaksham,Flight,1369.26,684.63,205.39,0.36,0.3,0,0.0,205.68
2025-10-14,Director,SkillsBuild,Flight,823.84,411.92,123.58,0.36,0.3,0,0.0,123.87
2025-10-23,Director,SkillsBuild,Flight,1960.24,980.12,294.04,0.36,0.3,0,0.0,294.33
2025-11-06,Director,Skills4Future,Flight,1657.32,828.66,248.6,0.36,0.3,0,0.0,248.89
2025-11-07,Director,SkillSaksham,Flight,1716.33,858.16,257.45,0.36,0.3,0,0.0,257.74
2025-11-02,Director,Skills4Future,Flight,1823.48,911.74,273.52,0.36,0.3,0,0.0,273.82
2025-11-20,Director,Skills4Future,Flight,744.44,372.22,111.67,0.36,0.3,0,0.0,111.96
2025-12-25,Director,Skills4Future,Flight,872.53,436.26,130.88,0.36,0.3,0,0.0,131.17
2025-12-18,Director,Skills4Future,Flight,962.41,481.2,144.36,0.36,0.3,0,0.0,144.66
2025-12-07,Director,TechSaksham,Flight,1650.08,825.04,247.51,0.36,0.3,0,0.0,247.81
2025-12-11,Director,SkillSaksham,Flight,1828.58,914.29,274.29,0.36,0.3,0,0.0,274.58
2025-01-16,Director,Skills4Future,Flight,1486.44,743.22,222.97,0.36,0.3,0,0.0,223.26
2025-01-13,Director,SkillsBuild,Cab,39.77,9.94,4.77,0.36,0.3,0,0.0,5.07
2025-01-30,Director,SkillSaksham,Cab,24.85,6.21,2.98,0.36,0.3,0,0.0,3.28
2025-01-24,Director,SkillsBuild,Flight,1545.67,772.83,231.85,0.36,0.3,0,0.0,232.14
2025-02-12,Director,SkillsBuild,Flight,1185.23,592.61,177.78,0.36,0.3,0,0.0,178.08
2025-02-22,Director,Skills4Future,Flight,1463.18,731.59,219.48,0.36,0.3,0,0.0,219.77
2025-02-17,Director,TechSaksham,Cab,22.52,5.63,2.7,0.36,0.3,0,0.0,3.0
2025-02-15,Director,SkillSaksham,Cab,23.17,5.79,2.78,0.36,0.3,0,0.0,3.08
2025-03-14,Director,Code Unnati,Flight,956.3,478.15,143.45,0.36,0.3,0,0.0,143.74
2025-03-13,Director,SkillSaksham,Flight,831.85,415.92,124.78,0.36,0.3,0,0.0,125.07
2025-03-01,Director,SkillSaksham,Flight,1380.01,690.01,207.0,0.36,0.3,0,0.0,207.3
2025-03-08,Director,Code Unnati,Cab,23.63,5.91,2.84,0.36,0.3,0,0.0,3.13
2025-04-03,Director,Code Unnati,Flight,1529.38,764.69,229.41,0.36,0.3,0,0.0,229.7
2025-04-26,Director,SkillSaksham,Cab,12.98,3.25,1.56,0.36,0.3,0,0.0,1.85
2025-04-05,Director,SkillsBuild,Flight,927.21,463.6,139.08,0.36,0.3,0,0.0,139.38
2025-04-30,Director,SkillsBuild,Cab,36.5,9.13,4.38,0.36,0.3,0,0.0,4.68
2025-05-06,Director,Code Unnati,Flight,1208.18,604.09,181.23,0.36,0.3,0,0.0,181.52
2025-05-31,Director,SkillSaksham,Flight,884.31,442.15,132.65,0.36,0.3,0,0.0,132.94
2025-05-20,Director,Code Unnati,Flight,1578.59,789.3,236.79,0.36,0.3,0,0.0,237.08
2025-05-11,Director,TechSaksham,Flight,1632.88,816.44,244.93,0.36,0.3,0,0.0,245.23
2025-06-23,Director,SkillSaksham,Flight,1532.22,766.11,229.83,0.36,0.3,0,0.0,230.13
2025-06-20,Director,TechSaksham,Flight,1000.08,500.04,150.01,0.36,0.3,0,0.0,150.31
2025-06-02,Director,TechSaksham,Flight,1570.33,785.17,235.55,0.36,0.3,0,0.0,235.85
2025-07-21,Director,Skills4Future,Cab,23.9,5.97,2.87,0.36,0.3,0,0.0,3.16
2025-07-11,Director,SkillsBuild,Flight,820.81,410.4,123.12,0.36,0.3,0,0.0,123.42
2025-07-26,Director,TechSaksham,Cab,35.26,8.82,4.23,0.36,0.3,0,0.0,4.53
2025-08-31,Director,SkillSaksham,Flight,1351.5,675.75,202.72,0.36,0.3,0,0.0,203.02
2025-08-15,Director,SkillsBuild,Flight,1762.68,881.34,264.4,0.36,0.3,0,0.0,264.7
2025-08-17,Director,Code Unnati,Flight,1392.23,696.11,208.83,0.36,0.3,0,0.0,209.13
2025-09-05,Director,SkillSaksham,Flight,1938.64,969.32,290.8,0.36,0.3,0,0.0,291.09
2025-09-18,Director,SkillsBuild,Flight,858.29,429.15,128.74,0.36,0.3,0,0.0,129.04
2025-09-08,Director,SkillSaksham,Flight,875.72,437.86,131.36,0.36,0.3,0,0.0,131.65
2025-09-12,Director,Skills4Future,Flight,1709.74,854.87,256.46,0.36,0.3,0,0.0,256.76
2025-10-04,Director,Code Unnati,Flight,1599.1,799.55,239.87,0.36,0.3,0,0.0,240.16
2025-10-26,Director,SkillsBuild,Flight,1995.71,997.85,299.36,0.36,0.3,0,0.0,299.65
2025-10-12,Director,SkillsBuild,Flight,987.04,493.52,148.06,0.36,0.3,0,0.0,148.35
2025-10-17,Director,SkillSaksham,Flight,1385.15,692.58,207.77,0.36,0.3,0,0.0,208.07
2025-11-27,Director,Skills4Future,Flight,1045.61,522.8,156.84,0.36,0.3,0,0.0,157.14
2025-11-19,Director,Code Unnati,Flight,1797.66,898.83,269.65,0.36,0.3,0,0.0,269.94
2025-11-04,Director,SkillSaksham,Flight,895.06,447.53,134.26,0.36,0.3,0,0.0,134.55
2025-12-11,Director,Code Unnati,Flight,995.05,497.53,149.26,0.36,0.3,0,0.0,149.55
2025-12-31,Director,SkillsBuild,Flight,1373.93,686.97,206.09,0.36,0.3,0,0.0,206.38
2025-12-24,Director,Code Unnati,Flight,1984.76,992.38,297.71,0.36,0.3,0,0.0,298.01
2025-12-27,Director,SkillSaksham,Flight,749.43,374.71,112.41,0.36,0.3,0,0.0,112.71
2025-01-30,Management,Skills4Future,Cab,32.39,8.1,3.89,0.42,0.34,0,0.0,4.23
2025-01-16,Management,SkillsBuild,Cab,28.36,7.09,3.4,0.42,0.34,0,0.0,3.75
2025-01-25,Management,Code Unnati,Flight,1499.52,749.76,224.93,0.42,0.34,0,0.0,225.27
2025-02-16,Management,Skills4Future,Flight,912.79,456.39,136.92,0.42,0.34,0,0.0,137.26
2025-02-27,Management,Skills4Future,Flight,857.95,428.98,128.69,0.42,0.34,0,0.0,129.04
2025-02-03,Management,Code Unnati,Cab,27.6,6.9,3.31,0.42,0.34,0,0.0,3.66
2025-02-22,Management,Code Unnati,Flight,1112.0,556.0,166.8,0.42,0.34,0,0.0,167.14
2025-03-25,Management,Code Unnati,Flight,1145.1,572.55,171.76,0.42,0.34,0,0.0,172.11
2025-03-01,Management,Code Unnati,Cab,31.02,7.75,3.72,0.42,0.34,0,0.0,4.07
2025-03-19,Management,Code Unnati,Flight,1434.53,717.26,215.18,0.42,0.34,0,0.0,215.52
2025-04-14,Management,SkillSaksham,Flight,1381.41,690.7,207.21,0.42,0.34,0,0.0,207.56
2025-04-24,Management,TechSaksham,Cab,6.24,1.56,0.75,0.42,0.34,0,0.0,1.09
2025-04-13,Management,SkillsBuild,Flight,1674.41,837.2,251.16,0.42,0.34,0,0.0,251.51
2025-05-29,Management,Skills4Future,Flight,1836.54,918.27,275.48,0.42,0.34,0,0.0,275.83
2025-05-17,Management,SkillSaksham,Flight,784.31,392.15,117.65,0.42,0.34,0,0.0,117.99
2025-05-01,Management,TechSaksham,Flight,1428.86,714.43,214.33,0.42,0.34,0,0.0,214.67
2025-06-09,Management,Code Unnati,Flight,1089.28,544.64,163.39,0.42,0.34,0,0.0,163.74
2025-06-23,Management,SkillsBuild,Flight,1527.03,763.52,229.05,0.42,0.34,0,0.0,229.4
2025-06-05,Management,Code Unnati,Flight,1988.46,994.23,298.27,0.42,0.34,0,0.0,298.61
2025-06-08,Management,Skills4Future,Flight,1443.43,721.72,216.52,0.42,0.34,0,0.0,216.86
2025-07-09,Management,TechSaksham,Cab,32.31,8.08,3.88,0.42,0.34,0,0.0,4.22
2025-07-27,Management,Skills4Future,Cab,10.56,2.64,1.27,0.42,0.34,0,0.0,1.61
2025-07-29,Management,Skills4Future,Flight,1218.49,609.24,182.77,0.42,0.34,0,0.0,183.12
2025-07-07,Management,Skills4Future,Flight,1943.6,971.8,291.54,0.42,0.34,0,0.0,291.88
2025-08-15,Management,TechSaksham,Flight,1412.82,706.41,211.92,0.42,0.34,0,0.0,212.27
2025-08-18,Management,SkillSaksham,Flight,1244.43,622.22,186.66,0.42,0.34,0,0.0,187.01
2025-08-27,Management,SkillsBuild,Flight,1973.42,986.71,296.01,0.42,0.34,0,0.0,296.36
2025-08-26,Management,SkillSaksham,Flight,957.53,478.76,143.63,0.42,0.34,0,0.0,143.97
2025-09-15,Management,TechSaksham,Flight,915.51,457.75,137.33,0.42,0.34,0,0.0,137.67
2025-09-03,Management,TechSaksham,Flight,980.92,490.46,147.14,0.42,0.34,0,0.0,147.48
2025-09-20,Management,TechSaksham,Flight,1235.3,617.65,185.29,0.42,0.34,0,0.0,185.64
2025-09-05,Management,SkillSaksham,Flight,1077.76,538.88,161.66,0.42,0.34,0,0.0,162.01
2025-10-23,Management,Code Unnati,Cab,23.85,5.96,2.86,0.42,0.34,0,0.0,3.21
2025-10-16,Management,Skills4Future,Cab,18.02,4.5,2.16,0.42,0.34,0,0.0,2.51
2025-10-25,Management,SkillsBuild,Flight,821.43,410.72,123.21,0.42,0.34,0,0.0,123.56
2025-11-29,Management,SkillsBuild,Flight,743.4,371.7,111.51,0.42,0.34,0,0.0,111.85
2025-11-01,Management,SkillSaksham,Flight,1766.49,883.25,264.97,0.42,0.34,0,0.0,265.32
2025-11-30,Management,SkillSaksham,Flight,1499.89,749.94,224.98,0.42,0.34,0,0.0,225.33
2025-12-17,Management,SkillSaksham,Cab,16.79,4.2,2.01,0.42,0.34,0,0.0,2.36
2025-12-25,Management,SkillsBuild,Cab,23.93,5.98,2.87,0.42,0.34,0,0.0,3.22
2025-12-29,Management,Code Unnati,Cab,39.58,9.9,4.75,0.42,0.34,0,0.0,5.09
2025-12-31,Management,TechSaksham,Cab,21.07,5.27,2.53,0.42,0.34,0,0.0,2.87
2025-01-08,Management,SkillSaksham,Flight,1122.64,561.32,168.4,0.42,0.34,0,0.0,168.74
2025-01-25,Management,Skills4Future,Flight,917.27,458.64,137.59,0.42,0.34,0,0.0,137.94
2025-01-17,Management,Skills4Future,Flight,1788.15,894.08,268.22,0.42,0.34,0,0.0,268.57
2025-02-13,Management,Skills4Future,Flight,867.5,433.75,130.13,0.42,0.34,0,0.0,130.47
2025-02-17,Management,Code Unnati,Cab,8.88,2.22,1.07,0.42,0.34,0,0.0,1.41
2025-02-11,Management,Skills4Future,Flight,1247.88,623.94,187.18,0.42,0.34,0,0.0,187.53
2025-03-21,Management,SkillsBuild,Flight,1309.4,654.7,196.41,0.42,0.34,0,0.0,196.75
2025-03-02,Management,SkillsBuild,Cab,7.6,1.9,0.91,0.42,0.34,0,0.0,1.26
